id,product,answer
1,1,4
1,2,2
1,3,3
2,1,3
2,2,2
2,3,3
3,1,4
3,2,1
3,3,2
16,1,4
16,2,3
16,3,1
17,1,2
17,2,3
17,3,4
18,1,1
18,2,4
18,3,2
4,1,4
4,2,4
4,3,2
5,1,4
5,2,2
5,3,2
6,1,4
6,2,1
6,3,4
7,1,4
7,2,1
7,3,2
8,1,4
8,2,4
8,3,3
9,1,4
9,2,1
9,3,1
10,1,1
10,2,2
10,3,3
11,1,3
11,2,1
11,3,3
12,1,4
12,2,3
12,3,1
13,1,4
13,2,3
13,3,4
14,1,3
14,2,2
14,3,3
15,1,4
15,2,1
15,3,2
19,1,4
19,2,2
19,3,4
20,1,3
20,2,2
20,3,2
21,1,4
21,2,1
21,3,2
22,1,4
22,2,4
22,3,3
23,1,3
23,2,2
23,3,1
24,1,2
24,2,3
24,3,1
25,1,4
25,2,2
25,3,4
26,1,3
26,2,2
26,3,3
27,1,3
27,2,2
27,3,4
28,1,4
28,2,1
28,3,2
29,1,3
29,2,2
29,3,3
30,1,4
30,2,1
30,3,2
31,1,4
31,2,2
31,3,3
32,1,3
32,2,2
32,3,3
33,1,4
33,2,1
33,3,2
34,1,4
34,2,2
34,3,3
35,1,3
35,2,2
35,3,3
36,1,4
36,2,1
36,3,2
